                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0227,                 1.4095,                 1.2902,                0.87528,                0.84253,                0.92087,                 0.6893,                0.89242,                0.63571,                 1.1064,               0.070138,               0.003318,               0.003318
                      1,                0.89801,                0.76565,                 1.1818,                0.82799,                0.80942,                0.89937,                0.65099,                0.95953,                0.81455,                  1.182,               0.040072,              0.0065855,              0.0065855
                      2,                 0.9694,                0.85122,                 1.2292,                0.76151,                 0.7281,                0.77469,                   0.48,                 1.2727,                 1.2075,                 1.5011,              0.0099399,               0.009787,               0.009787
                      3,                 1.0265,                0.92968,                  1.257,                0.81882,                0.74707,                0.82433,                0.50911,                 1.3019,                 1.0084,                 1.4661,               0.009703,               0.009703,               0.009703
                      4,                0.97881,                0.85427,                  1.229,                0.85781,                0.79914,                0.87555,                0.60747,                 1.1213,                0.82906,                 1.3187,               0.009703,               0.009703,               0.009703
                      5,                0.94149,                0.79158,                 1.2096,                0.88683,                0.81753,                0.90796,                0.64867,                 1.0338,                0.73587,                 1.2321,               0.009604,               0.009604,               0.009604
                      6,                0.91014,                0.74131,                 1.1873,                0.91658,                 0.8462,                0.92055,                0.66098,                 1.0312,                0.68433,                 1.2332,               0.009505,               0.009505,               0.009505
                      7,                0.88324,                0.69989,                 1.1705,                0.89905,                0.81107,                0.90172,                0.66791,                0.94204,                0.66693,                 1.1664,               0.009406,               0.009406,               0.009406
                      8,                0.86206,                0.68202,                 1.1625,                0.87252,                0.86238,                0.91161,                 0.6765,                0.92294,                0.63538,                 1.1533,               0.009307,               0.009307,               0.009307
                      9,                0.85125,                0.65925,                 1.1535,                0.90027,                0.87107,                0.92495,                0.71423,                0.87541,                0.58028,                  1.121,               0.009208,               0.009208,               0.009208
                     10,                0.83516,                0.63254,                 1.1434,                0.91706,                0.88942,                0.94642,                0.72626,                0.87116,                0.55692,                 1.1114,               0.009109,               0.009109,               0.009109
                     11,                0.82146,                0.62187,                 1.1397,                0.93141,                0.87447,                0.94817,                0.73989,                0.84957,                0.52186,                 1.0859,                0.00901,                0.00901,                0.00901
                     12,                0.81118,                0.60233,                 1.1327,                 0.9378,                0.90439,                0.94925,                0.74856,                0.81567,                0.49631,                 1.0657,               0.008911,               0.008911,               0.008911
                     13,                0.80142,                0.59128,                 1.1252,                 0.9306,                0.89942,                0.95276,                0.74194,                0.83659,                0.52043,                 1.0722,               0.008812,               0.008812,               0.008812
                     14,                0.78702,                 0.5743,                 1.1186,                0.93364,                 0.9079,                0.94897,                0.74591,                0.84458,                0.51297,                 1.0899,               0.008713,               0.008713,               0.008713
                     15,                0.77987,                 0.5647,                 1.1139,                0.95135,                0.89253,                0.95157,                0.75527,                0.80911,                 0.4976,                 1.0709,               0.008614,               0.008614,               0.008614
                     16,                0.76925,                0.55381,                 1.1084,                  0.937,                0.90382,                0.95935,                0.76414,                0.78668,                0.48995,                 1.0554,               0.008515,               0.008515,               0.008515
                     17,                0.76004,                0.54402,                 1.1028,                0.94231,                0.89885,                0.95439,                0.75483,                 0.8181,                0.48934,                 1.0582,               0.008416,               0.008416,               0.008416
                     18,                0.75896,                 0.5355,                 1.1012,                0.91845,                0.90218,                0.95588,                0.76591,                0.78559,                0.46456,                 1.0381,               0.008317,               0.008317,               0.008317
